car_no,CAR BRAND NAME,car_status,listed,First Listing Date,Sale date,Days
Car No-1257,Brand-B,Not Sold,TRUE,2021-05-19,,
Car No-1258,Brand-C,Not Sold,TRUE,2021-05-26,,
Car No-1259,Brand-I,Not Sold,TRUE,2021-06-04,,
Car No-1260,Brand-D,Not Sold,TRUE,2021-06-09,,
Car No-1261,Brand-C,Not Sold,FALSE,,,
Car No-1262,Brand-C,Not Sold,FALSE,,,
Car No-1263,Brand-B,Sold,TRUE,2020-08-11,2020-08-27,16
Car No-1264,Brand-I,Not Sold,FALSE,,,
Car No-1265,Brand-D,Sold,TRUE,2020-08-13,2020-12-08,117
Car No-1266,Brand-D,Not Sold,FALSE,,,
Car No-1267,Brand-B,Sold,TRUE,2020-08-24,2020-11-28,96
Car No-1268,Brand-C,Sold,TRUE,2020-09-17,2020-10-24,37
Car No-1269,Brand-B,Sold,TRUE,2020-10-04,2020-10-21,17
Car No-1270,Brand-T,Sold,TRUE,2020-10-14,2020-12-15,62
Car No-1271,Brand-B,Sold,TRUE,2020-10-23,2021-05-05,194
Car No-1272,Brand-C,Sold,TRUE,2020-11-24,2021-04-21,148
Car No-1273,Brand-B,Sold,TRUE,2020-12-05,2021-01-31,57
Car No-1274,Brand-B,Not Sold,TRUE,2020-12-16,,
Car No-1275,Brand-C,Sold,TRUE,2021-01-01,2021-04-28,117
Car No-1276,Brand-B,Sold,TRUE,2021-01-15,2021-03-03,47
Car No-1277,Brand-I,Sold,TRUE,2021-02-09,2021-02-20,11
Car No-1278,Brand-I,Sold,TRUE,2021-02-23,2021-03-13,18
Car No-1279,Brand-C,Sold,TRUE,2021-03-03,2021-03-25,22
Car No-1280,Brand-D,Sold,TRUE,2021-03-06,2021-04-16,41
Car No-1281,Brand-B,Sold,TRUE,2021-03-12,2021-04-07,26
Car No-1282,Brand-B,Sold,TRUE,2021-03-17,2021-04-21,35
Car No-1283,Brand-B,Not Sold,TRUE,2021-03-22,,
Car No-1284,Brand-D,Not Sold,TRUE,2021-03-26,,
Car No-1285,Brand-C,Sold,TRUE,2021-03-31,2021-04-19,19
Car No-1286,Brand-B,Sold,TRUE,2021-04-03,2021-04-28,25
Car No-1287,Brand-I,Sold,TRUE,2021-04-08,2021-05-07,29
Car No-1288,Brand-C,Sold,TRUE,2021-04-13,2021-05-22,39
Car No-1289,Brand-B,Not Sold,TRUE,2021-04-17,,
Car No-1290,Brand-B,Not Sold,TRUE,2021-04-22,,
Car No-1291,Brand-I,Not Sold,TRUE,2021-04-30,,
Car No-1292,Brand-G,Not Sold,TRUE,2021-04-29,,
Car No-1293,Brand-I,Not Sold,TRUE,2021-05-03,,
Car No-1294,Brand-I,Sold,TRUE,2021-05-16,2021-06-16,31
Car No-1295,Brand-J,Not Sold,TRUE,2021-05-29,,
Car No-1296,Brand-M,Not Sold,TRUE,2021-06-04,,
Car No-1297,Brand-I,Not Sold,FALSE,,,
Car No-1298,Brand-D,Not Sold,TRUE,2021-06-14,,
Car No-1299,Brand-K,Not Sold,FALSE,,,
Car No-1300,Brand-B,Not Sold,TRUE,2021-06-22,,
Car No-1301,Brand-B,Sold,TRUE,2020-08-11,2021-01-14,156
Car No-1302,Brand-B,Not Sold,FALSE,,,
Car No-1303,Brand-B,Sold,TRUE,2020-08-14,2021-03-06,204
Car No-1304,Brand-D,Not Sold,FALSE,,,
Car No-1305,Brand-D,Sold,TRUE,2020-08-24,2020-09-05,12
Car No-1306,Brand-C,Sold,TRUE,2020-09-18,2020-12-30,103
Car No-1307,Brand-D,Sold,TRUE,2020-10-05,2021-01-12,99
Car No-1308,Brand-B,Sold,TRUE,2020-10-14,2020-12-29,76
Car No-1309,Brand-K,Sold,TRUE,2020-10-23,2020-11-19,27
Car No-1310,Brand-I,Sold,TRUE,2020-11-25,2021-02-11,78
Car No-1311,Brand-B,Sold,TRUE,2020-12-05,2021-05-29,175
Car No-1312,Brand-B,Sold,TRUE,2020-12-16,2021-01-21,36
Car No-1313,Brand-B,Not Sold,TRUE,2021-01-01,,
Car No-1314,Brand-C,Not Sold,TRUE,2021-01-15,,
Car No-1315,Brand-B,Not Sold,TRUE,2021-02-11,,
Car No-1316,Brand-D,Sold,TRUE,2021-02-23,2021-03-09,14
Car No-1317,Brand-G,Sold,TRUE,2021-03-03,2021-03-17,14
Car No-1318,Brand-D,Not Sold,TRUE,2021-03-08,,
Car No-1319,Brand-B,Sold,TRUE,2021-03-12,2021-03-29,17
Car No-1320,Brand-C,Not Sold,TRUE,2021-03-19,,
Car No-1321,Brand-B,Not Sold,TRUE,2021-03-22,,
Car No-1322,Brand-B,Sold,TRUE,2021-03-26,2021-04-30,35
Car No-1323,Brand-B,Not Sold,TRUE,2021-03-31,,
Car No-1324,Brand-B,Not Sold,TRUE,2021-04-03,,
Car No-1325,Brand-K,Sold,TRUE,2021-04-08,2021-05-06,28
Car No-1326,Brand-B,Not Sold,TRUE,2021-04-13,,
Car No-1327,Brand-O,Sold,TRUE,2021-04-17,2021-05-26,39
Car No-1328,Brand-B,Not Sold,TRUE,2021-04-22,,
Car No-1329,Brand-D,Not Sold,TRUE,2021-05-11,,
Car No-1330,Brand-B,Sold,TRUE,2021-04-27,2021-05-11,14
Car No-1331,Brand-C,Not Sold,TRUE,2021-05-03,,
Car No-1332,Brand-L,Not Sold,TRUE,2021-05-11,,
Car No-1333,Brand-C,Not Sold,TRUE,2021-05-21,,
Car No-1334,Brand-J,Not Sold,TRUE,2021-05-26,,
Car No-1335,Brand-C,Not Sold,TRUE,2021-05-26,,
Car No-1336,Brand-C,Not Sold,TRUE,2021-06-14,,
Car No-1337,Brand-B,Not Sold,TRUE,2021-06-17,,
Car No-1338,Brand-B,Not Sold,TRUE,2021-06-23,,
